Model,MAE,RMSE,MAPE,R2_Score,Mean_Prediction,Std_Prediction
LSTM,37.43977384201261,47.34018723550322,3.8714324894233134,0.7049375132964628,976.7029281360719,100.10781446606585
Transformer,32.506157781354354,40.75022915630916,3.362218948886661,0.7813677791821654,974.6850432367036,94.87583565219967
Random Forest,46.330634168837314,57.84498286247249,4.764859003860549,0.5594598968629748,983.8217745836928,107.11840871229613
Ensemble,23.656876822999706,29.442911883844065,2.432824618728322,0.8858658591273879,978.4032486521559,92.9092162490265
