Model,Mean_Error,Std_Error,Max_Error,Min_Error,Error_Percentile_95,Positive_Errors,Negative_Errors
LSTM,-0.49732011060290593,47.33757492943731,162.06336700345366,-192.63657453273618,94.12008797433865,177,188
Transformer,1.5205647887655638,40.72184989676766,107.8754657176629,-123.15523233820954,80.9377861890225,189,176
Random Forest,-7.61616655822385,57.3413990875452,170.91255723780455,-157.94292389024338,110.11134579988216,165,200
Ensemble,-2.1976406266870563,29.360780573338655,68.41122129446978,-89.75397424450546,57.28669432483122,178,187
