Model,MAPE,RMSE,MAE,R²
SimpleEnsemble (Day 8-9),6.419273806062726,28688.25139725687,26631.43505178888,-6.797384554166735
MoE Ensemble (Day 10-11),0.31128767132759094,1385.3641669250724,1285.2542724609375,0.9818168878555298
GRU,0.6171600222587585,12349.636431895475,7821.20166015625,-0.44493770599365234
CNN-LSTM,0.5597407221794128,12888.205460807956,8152.78564453125,-0.5737135410308838
Transformer,0.31128770112991333,1385.3641669250724,1285.2542724609375,0.9818168878555298
Attention,0.07114820927381516,528.4157927238739,407.961669921875,0.9973545670509338
