Feature_Index,Perturbation_%,MAE_Change,Sensitivity
0,-10.0,71.9858074155288,0.7357478372511144
0,-5.0,24.166914224997164,0.49400723593854373
0,5.0,28.50624451278474,0.5827095229304444
0,10.0,76.38108866890303,0.7806708407205852
1,-10.0,71.9858074155288,0.7357478372511144
1,-5.0,24.166914224997164,0.49400723593854373
1,5.0,28.50624451278474,0.5827095229304444
1,10.0,76.38108866890303,0.7806708407205852
2,-10.0,71.9858074155288,0.7357478372511144
2,-5.0,24.166914224997164,0.49400723593854373
2,5.0,28.50624451278474,0.5827095229304444
2,10.0,76.38108866890303,0.7806708407205852
3,-10.0,71.9858074155288,0.7357478372511144
3,-5.0,24.166914224997164,0.49400723593854373
3,5.0,28.50624451278474,0.5827095229304444
3,10.0,76.38108866890303,0.7806708407205852
4,-10.0,71.9858074155288,0.7357478372511144
4,-5.0,24.166914224997164,0.49400723593854373
4,5.0,28.50624451278474,0.5827095229304444
4,10.0,76.38108866890303,0.7806708407205852
